Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
612,MinimaxQLearner,MinimaxQLearner,-0.00815660685154973,0.0016313213703099128,-1.0,1.0,1,0,79.7193599374591,-32.945349351108916,"[0.5041, 0.4959]","[0.4992, 0.5008]",307,309
613,MinimaxQLearner,MinimaxQLearner,-0.009771986970684043,-0.0032573289902280145,1.0,-1.0,1,1,78.7291319244298,-31.94209202211869,"[0.5049, 0.4951]","[0.4984, 0.5016]",308,304
614,MinimaxQLearner,MinimaxQLearner,0.008130081300812997,0.004878048780487809,1.0,-1.0,0,0,77.73726200573061,-30.937213973338203,"[0.5041, 0.4959]","[0.4976, 0.5024]",306,310
615,MinimaxQLearner,MinimaxQLearner,-0.009740259740259771,0.0032467532467532756,-1.0,1.0,1,0,78.74700226547087,-31.93396722009145,"[0.5049, 0.4951]","[0.4984, 0.5016]",309,311
616,MinimaxQLearner,MinimaxQLearner,0.01134521880064826,-0.004862236628849326,-1.0,1.0,0,1,79.75834748427151,-32.9291049834626,"[0.5057, 0.4943]","[0.4976, 0.5024]",307,305
617,MinimaxQLearner,MinimaxQLearner,-0.009708737864077666,-0.0032362459546925737,1.0,-1.0,1,1,78.76805622213558,-31.92586873750791,"[0.5049, 0.4951]","[0.4984, 0.5016]",310,306
618,MinimaxQLearner,MinimaxQLearner,-0.008077544426494387,0.004846526655896577,-1.0,1.0,1,0,79.77613376656208,-32.92102221085201,"[0.504, 0.496]","[0.4976, 0.5024]",311,312
619,MinimaxQLearner,MinimaxQLearner,0.009677419354838734,-0.006451612903225767,-1.0,1.0,0,1,80.78581118591693,-33.91457059794878,"[0.5048, 0.4952]","[0.4968, 0.5032]",308,307
620,MinimaxQLearner,MinimaxQLearner,0.008051529790660261,-0.004830917874396157,-1.0,1.0,0,1,81.79386271570759,-34.90973968007439,"[0.504, 0.496]","[0.4976, 0.5024]",309,308
621,MinimaxQLearner,MinimaxQLearner,-0.006430868167202564,-0.003215434083601254,1.0,-1.0,1,1,80.80029358387479,-33.90652424599079,"[0.5032, 0.4968]","[0.4984, 0.5016]",312,309
622,MinimaxQLearner,MinimaxQLearner,-0.004815409309791352,0.004815409309791352,-1.0,1.0,1,0,81.80510899318458,-34.901708836680996,"[0.5024, 0.4976]","[0.4976, 0.5024]",313,313
623,MinimaxQLearner,MinimaxQLearner,0.0064102564102563875,0.0064102564102563875,1.0,-1.0,0,0,80.81151924959484,-33.89529858027074,"[0.5032, 0.4968]","[0.4968, 0.5032]",310,314
624,MinimaxQLearner,MinimaxQLearner,0.008000000000000007,-0.004799999999999971,-1.0,1.0,0,1,81.81951924959483,-34.89049858027074,"[0.504, 0.496]","[0.4976, 0.5024]",311,310
625,MinimaxQLearner,MinimaxQLearner,0.0063897763578275035,0.003194888178913724,1.0,-1.0,0,0,80.82590902595265,-33.88730369209183,"[0.5032, 0.4968]","[0.4984, 0.5016]",312,315
626,MinimaxQLearner,MinimaxQLearner,0.00797448165869219,0.0015948963317384823,1.0,-1.0,0,0,79.83388350761135,-32.88570879576009,"[0.504, 0.496]","[0.4992, 0.5008]",313,316
627,MinimaxQLearner,MinimaxQLearner,-0.009554140127388588,0.0,1.0,-1.0,1,1,78.84343764773874,-31.885708795760088,"[0.5048, 0.4952]","[0.5, 0.5]",314,311
628,MinimaxQLearner,MinimaxQLearner,-0.007949125596184381,-0.0015898251192368318,1.0,-1.0,1,1,77.85138677333492,-30.884118970640852,"[0.504, 0.496]","[0.4992, 0.5008]",315,312
629,MinimaxQLearner,MinimaxQLearner,0.006349206349206327,-0.0031746031746031633,-1.0,1.0,0,1,78.85773597968412,-31.88094436746625,"[0.5032, 0.4968]","[0.4984, 0.5016]",314,313
630,MinimaxQLearner,MinimaxQLearner,-0.004754358161648209,0.0015847860538826808,-1.0,1.0,1,0,79.86249033784577,-32.879359581412366,"[0.5024, 0.4976]","[0.4992, 0.5008]",316,317
631,MinimaxQLearner,MinimaxQLearner,0.006329113924050667,0.0031645569620253333,1.0,-1.0,0,0,78.86881945176982,-31.87619502445034,"[0.5032, 0.4968]","[0.4984, 0.5016]",315,318
632,MinimaxQLearner,MinimaxQLearner,0.00789889415481837,0.0015797788309637184,1.0,-1.0,0,0,77.87671834592464,-30.874615245619374,"[0.5039, 0.4961]","[0.4992, 0.5008]",316,319
633,MinimaxQLearner,MinimaxQLearner,-0.009463722397476337,0.0,-1.0,1.0,1,0,78.88618206832211,-31.874615245619374,"[0.5047, 0.4953]","[0.5, 0.5]",317,320
634,MinimaxQLearner,MinimaxQLearner,-0.011023622047244108,-0.0015748031496063408,1.0,-1.0,1,1,77.89720569036936,-30.87304044246977,"[0.5055, 0.4945]","[0.4992, 0.5008]",318,314
635,MinimaxQLearner,MinimaxQLearner,-0.009433962264150997,-0.0031446540880503693,1.0,-1.0,1,1,76.90663965263352,-29.86989578838172,"[0.5047, 0.4953]","[0.4984, 0.5016]",319,315
