action_p1,action_p1_label,action_p2,action_p2_label,prob
0,Strategy A,0,Strategy A,0.0002
0,Strategy A,1,Strategy B,0.0
1,Strategy B,0,Strategy A,0.95
1,Strategy B,1,Strategy B,0.0498
