t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0
2,-1.0,1.0,0.0,0.0,1.0,0.33333333333333326,0.33333333333333326
3,1.0,-1.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.6666666666666667,1.8333333333333333
4,1.0,-1.0,0.5,-0.5,0.5,-1.4666666666666668,3.033333333333333
5,-1.0,1.0,0.2,-0.2,0.3999999999999999,-0.13333333333333353,2.033333333333333
6,-1.0,1.0,0.0,0.0,0.3333333333333333,1.0095238095238093,1.176190476190476
7,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.25952380952380927,2.176190476190476
8,-1.0,1.0,0.0,0.0,0.0,1.3706349206349204,1.2873015873015872
9,-1.0,1.0,-0.1111111111111111,0.1111111111111111,0.22222222222222232,2.37063492063492,0.28730158730158717
10,1.0,-1.0,0.0,0.0,0.19999999999999996,1.461544011544011,1.378210678210678
11,-1.0,1.0,-0.09090909090909091,0.09090909090909091,0.3636363636363636,2.461544011544011,0.5448773448773447
12,1.0,-1.0,0.0,0.0,0.33333333333333337,1.538467088467088,1.7756465756465756
13,1.0,-1.0,0.07692307692307693,-0.07692307692307693,0.30769230769230765,0.6813242313242307,2.918503718503718
14,-1.0,1.0,0.0,0.0,0.4285714285714286,1.8813242313242307,1.9851703851703848
15,-1.0,1.0,-0.06666666666666667,0.06666666666666667,0.2666666666666666,3.1313242313242307,1.1101703851703848
16,-1.0,1.0,-0.125,0.125,0.375,4.307794819559525,0.16899391458214952
17,1.0,-1.0,-0.058823529411764705,0.058823529411764705,0.35294117647058826,3.530017041781747,1.2801050256932607
18,-1.0,1.0,-0.1111111111111111,0.1111111111111111,0.22222222222222227,4.793174936518589,0.33273660464062904
19,1.0,-1.0,-0.05263157894736842,0.05263157894736842,0.3157894736842105,3.9931749365185896,1.332736604640629
20,1.0,-1.0,0.0,0.0,0.19999999999999996,3.2312701746138277,2.3803556522596767
21,1.0,-1.0,0.047619047619047616,-0.047619047619047616,0.2857142857142858,2.4130883564320094,3.3803556522596767
22,1.0,-1.0,0.09090909090909091,-0.09090909090909091,0.18181818181818182,1.6304796607798355,4.423833913129242
23,-1.0,1.0,0.043478260869565216,-0.043478260869565216,0.1739130434782608,2.7971463274465025,3.4238339131292417
24,-1.0,1.0,0.0,0.0,0.16666666666666663,3.9171463274465026,2.4638339131292417
25,-1.0,1.0,-0.04,0.04,0.1600000000000001,4.994069404369579,1.5407569900523186
26,-1.0,1.0,-0.07692307692307693,0.07692307692307693,0.1538461538461538,6.0311064414066164,0.6518681011634297
27,1.0,-1.0,-0.037037037037037035,0.037037037037037035,0.2222222222222222,5.0311064414066164,1.7947252440205725
28,-1.0,1.0,-0.07142857142857142,0.07142857142857142,0.21428571428571425,6.065589200027306,0.9671390371240207
29,1.0,-1.0,-0.034482758620689655,0.034482758620689655,0.2758620689655172,5.132255866693972,2.100472370457354
30,1.0,-1.0,0.0,0.0,0.19999999999999996,4.229030060242359,3.2617626930379995
31,1.0,-1.0,0.03225806451612903,-0.03225806451612903,0.12903225806451607,3.2915300602423594,4.3867626930379995
32,-1.0,1.0,0.0,0.0,0.125,4.32183309054539,3.4776717839470903
33,-1.0,1.0,-0.030303030303030304,0.030303030303030304,0.12121212121212116,5.32183309054539,2.5953188427706197
34,1.0,-1.0,0.0,0.0,0.17647058823529416,4.350404519116818,3.6810331284849056
35,-1.0,1.0,-0.02857142857142857,0.02857142857142857,0.17142857142857137,5.4059600746723735,2.7921442395960168
36,1.0,-1.0,0.0,0.0,0.11111111111111116,4.432987101699401,3.927279374731152
37,-1.0,1.0,-0.02702702702702703,0.02702702702702703,0.10810810810810806,5.432987101699401,3.0325425326258886
38,-1.0,1.0,-0.05263157894736842,0.05263157894736842,0.10526315789473684,6.458628127340426,2.1094656095489652
39,1.0,-1.0,-0.02564102564102564,0.02564102564102564,0.15384615384615374,5.508628127340426,3.159465609548965
40,1.0,-1.0,0.0,0.0,0.20000000000000007,4.581798859047743,4.232636341256282
41,1.0,-1.0,0.024390243902439025,-0.024390243902439025,0.14634146341463417,3.6770369542858385,5.327874436494378
