player,action,action_label,prob
P1,0,0,0.0596
P1,1,1,0.061
P1,2,2,0.0584
P1,3,3,0.056
P1,4,4,0.0536
P1,5,5,0.065
P1,6,6,0.0676
P1,7,7,0.0634
P1,8,8,0.0562
P1,9,9,0.066
P1,10,10,0.0686
P1,11,11,0.063
P1,12,12,0.073
P1,13,13,0.058
P1,14,14,0.067
P1,15,15,0.0636
P2,0,0,0.0444
P2,1,1,0.0452
P2,2,2,0.0506
P2,3,3,0.0528
P2,4,4,0.0498
P2,5,5,0.0478
P2,6,6,0.053
P2,7,7,0.0544
P2,8,8,0.044
P2,9,9,0.0528
P2,10,10,0.0522
P2,11,11,0.049
P2,12,12,0.052
P2,13,13,0.0516
P2,14,14,0.0508
P2,15,15,0.053
P2,16,16,0.047
P2,17,17,0.0536
P2,18,18,0.0474
P2,19,19,0.0486
