action_p1,action_p1_label,action_p2,action_p2_label,prob
0,Rock,0,Rock,0.0308
0,Rock,1,Paper,0.0676
0,Rock,2,Scissors,0.0692
1,Paper,0,Rock,0.2538
1,Paper,1,Paper,0.033
1,Paper,2,Scissors,0.2442
2,Scissors,0,Rock,0.1638
2,Scissors,1,Paper,0.1054
2,Scissors,2,Scissors,0.0322
