action_p1,action_p1_label,action_p2,action_p2_label,prob
0,Rock,0,Rock,0.0684
0,Rock,1,Paper,0.1162
0,Rock,2,Scissors,0.1718
1,Paper,0,Rock,0.169
1,Paper,1,Paper,0.0388
1,Paper,2,Scissors,0.1282
2,Scissors,0,Rock,0.1204
2,Scissors,1,Paper,0.1484
2,Scissors,2,Scissors,0.0388
